TestId;Number of Threads;Successful;Elapsed Time for Conversion in Nano;Elapsed Total Time in Nano;Image              ;Average for Conversion in ms;Total Average in ms
0     ;1                ;TRUE      ;11585322                           ;159026923                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12712718                           ;176674968                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11694679                           ;168187388                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12616193                           ;186529949                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11626703                           ;161865027                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12795895                           ;215374162                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11624336                           ;159109504                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11648013                           ;162642941                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11595625                           ;170948791                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;13124819                           ;180478837                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12667112                           ;174487077                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12549813                           ;178285112                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11634197                           ;165165749                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12141805                           ;172301442                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12546698                           ;167858726                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11467450                           ;158083531                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12041493                           ;165970302                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12154779                           ;169149767                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11925427                           ;169264293                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11664459                           ;157692704                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11743865                           ;157493452                 ;2.kitten_medium.jpg;                            ;
